Subject,Catalog #,"Course Title Long 
(Short)",Current Enforced Prerequisites,Current Advisory Prerequisites,Course Description,Credits,"Term Offerings 
2025-26AY","Term Offered in 
2023-24AY",Term Offered in 2022-23AY,Typical Term Offered,Last Term Offered,Notes,"Most Recent Syllabus
",Cross Listed,Home Department ,"PRIMARY
Class Assoc Requisite, Enrollment Requirement Grp","Additional
Class Assoc Requisite, Enrollment Requirement Grp"
SI,500,"Problem-solving with People, Information, & Technology
(Prob-solve w/ info)",,,"Many problems facing society today involve information, from the small and mundane to the large and socially complex. Students learn and apply interdisciplinary problem-solving and team-based techniques to identify problems involving information, investigate them, and design potential solutions. This course develops foundational skills essential for future information professionals. ",3,"Fall
Winter",Fall,,"Fall
Winter",Fall 2025,"New Fall 2024 
Replacing SI 501",SI 500 Syllabus,,,001507-MSI & MHI SI Pgms,
SI,504,"Servers, The Shell, and Git 
(Servers, Shell,&Git)",,,"This course will introduce students to common tasks completed in the shell including: executing standard linux commands, interacting with package management systems, and utilizing git for version control. Students will use git for individual and collaborative work, with emphasis on handling merge requests and branches.",1.5,"Fall
Winter","Fall
Winter","Fall 
Winter","Fall
Winter",Fall 2025,,SI 504 Syllabus,,,001507-MSI & MHI SI Pgms,"10X sections: 
000032 - Graduate Standing"
SI,505,"Career and Internship Studio: Design Your Success 
(Career/Intern Studio)",,,"In this course, students will engage in a synthesis of knowledge and skill formation as well as practice in internship / career readiness and professional development.
This course will integrate practice, as well as peer coaching and facilitation in small group activities and reflection. Students will also be exposed to various industry and alumni speakers.
At the end of this course students will be able to articulate and implement professional development and career readiness skills that provide for the foundation of success in the internship search, the internship experience, as well as future professional environments.",1,"Fall (2nd half)
Winter",Fall (2nd half),"Fall (2nd half) 
Winter (1st half)",Fall (2nd half),Fall 2025,"Available to first year MSI & MHI students only. 

7 week course ",SI 505 Syllabus,,,001507-MSI & MHI SI Pgms,
SI,506,"Programming I 
(Programming I)",,,"Introduction to Python programming with a focus on applications informatics. Covers the fundamental elements of a modern programming language and how to access data on the internet. Explores how humans and technology complement one another, including techniques used to coordinate groups of people working together on software development.",3,"Fall
Winter","Fall
Winter","Fall 
Winter","Fall
Winter",Fall 2025,,SI 506 Syllabus,,,001507-MSI & MHI SI Pgms,"10X sections: 
000032 - Graduate Standing"
SI,507,"Intermediate Programming 
(Inter Programming)",SI 506 and SI 504,,"The purpose of this course is to build upon the foundation provided by 506 and prepare students for more advanced courses that require programming skills. In particular, students in 507 will further develop core programming and software development skills, including: basic data structures, gathering and processing data, interactive programming, debugging the testing, using distributed code repositories, and object-oriented design. By the end of this course, students should be comfortable writing 500-1000 line object-oriented programs including data processing and interactivity, incorporate and integrate multiple third-party packages, and write effective test cases to validate a functional specification.",3,"Fall
Winter","Fall
Winter","Fall 
Winter","Fall
Winter",Fall 2025,,SI 507 Syllabus,,,001507-MSI & MHI SI Pgms,"10X sections: 
000032 - Graduate Standing"
SI,510,"Information Ethics 
(Information Ethics)",,,Intensive review of ethical challenges bearing down on information professionals. Ethics are positioned as a foundation of professional identity while acknowledging that this foundation is undergoing critical evaluation and transformation. Contemporary controversies and conflicts are drawn upon that touch all MSI program areas and bring key issues into sharp relief.,3,Winter,Winter,Winter,Winter,Winter 2025,,SI 510 Syllabus,,,001507-MSI & MHI SI Pgms,
SI,511,Special Topics,,,Special Topics in Information,1-6,"Fall
Winter",Winter,Not Offered,As Needed,Fall 2025,,SI 511 Syllabi,,,NA,
SI,514,Special Topics,,,Special topics,1-6,,,Not Offered,,Fall 2018,,SI 501 Syllabus,,,001507-MSI & MHI SI Pgms,
SI,515,"Motion Capture for Interaction Design
MOCAP Interac Design

[Owned by School of Music, Theatre & Dance]",,,"Students are introduced to motion capture methods, including acoustic tracking, inertial sensing, and visual motion tracking. Students explore each form of motion capture before completing a final project of their own design. Final projects might consist of an interactive game, a digital musical instrument or an interactive installation.",3,,Fall,Not Offered,Winter,Fall 2023,,,PAT 515,"School of Music, Theatre & Dance",,
SI,519,"Intellectual Property and Information Law 
(Intellectual Property and Information Law)",,,"This course explores related and sometimes competing legal and policy frameworks for the development and dissemination of ideas, and expression, and data in the Information Age. We will examine copyright, patent, and trademark law - as well as speech and privacy. We will look at ways in which principles of free speech and expression relate to intellectual property rights - and how these legal concepts are related to the advancement of knowledge and innovation. We will focus on these areas in a political and social context -- and their interrelation to the Internet and evolving technologies. We will consider the impact of ethics and values on the development and dissemination of ideas and information (such as security, privacy, local control v. national and international considerations, competition, and the protection of minors). The course will draw from the contexts of education, business, and government, with a special emphasis on the changing nature, roles and responsibilities of educational institutions. Each term starts with a conversation about students' particular interests, and the course is tailored appropriately where possible. Special topics from students have included cosplay, plant genetics, and fan fiction in the context of the course's themes.",3,Fall,Fall,Fall,Fall,Fall 2025,,SI 519 Syllabus,,,001507-MSI & MHI SI Pgms,
